,Year,OFL (mt),ACL (mt),Commercial landings calendar year (mt),Estimated catch calendar year (mt),Estimated catch fishing year (mt)
129,2002,NA,NA,1911.097,"2,069",NA
130,2003,NA,NA,1693.808,"1,754",NA
131,2004,NA,NA,2203.814,"2,254",NA
132,2005,NA,NA,2903.037,"2,964",NA
133,2006,NA,NA,2127.886,"2,179",NA
134,2007,NA,NA,2345.707,"2,378",NA
135,2008,NA,NA,2129.745,"2,157",NA
136,2009,NA,NA,2208.495,"2,274",NA
137,2010,NA,NA,748.983,884,NA
138,2011,NA,NA,761.998,775,NA
139,2012,NA,NA,1115.85,"1,129",NA
140,2013,NA,NA,1924.748,"1,946",NA
141,2014,NA,NA,2340.797,"2,356",NA
142,2015,NA,NA,NA,"2,816",NA
